Symbol,Shortname,Longname
TSN,"Tyson Foods, Inc.","Tyson Foods, Inc."
TER,"Teradyne, Inc.","Teradyne, Inc."
STE,STERIS plc (Ireland),STERIS plc
PKG,Packaging Corporation of Americ,Packaging Corporation of America
CLX,Clorox Company (The),The Clorox Company
NTRS,Northern Trust Corporation,Northern Trust Corporation
ZBRA,Zebra Technologies Corporation,Zebra Technologies Corporation
DVN,Devon Energy Corporation,Devon Energy Corporation
CBOE,"Cboe Global Markets, Inc.","Cboe Global Markets, Inc."
WY,Weyerhaeuser Company,Weyerhaeuser Company
LUV,Southwest Airlines Company,Southwest Airlines Co.
ULTA,"Ulta Beauty, Inc.","Ulta Beauty, Inc."
CMS,CMS Energy Corporation,CMS Energy Corporation
INVH,Invitation Homes Inc.,Invitation Homes Inc.
FSLR,"First Solar, Inc.","First Solar, Inc."
BF-B,Brown Forman Inc,Brown-Forman Corporation
LDOS,"Leidos Holdings, Inc.","Leidos Holdings, Inc."
CFG,"Citizens Financial Group, Inc.","Citizens Financial Group, Inc."
